*Hardness measurements were converted to stress measurements by dividing the hardness by 3					
"**LYS = lower yield stress, no strain given for hardness measurements"					
"***TT = tension test, CT = compression test, NH = nanoindentation, VH = Vickers hardness, MDBT = miniaturized disk bend test"					
					
					
element	grain size (µm)	flow stress (MPa)*	plastic strain**	test method***	reference
Cu	0.016	848	-	VH	74
Cu	0.015	884	-	VH	74
Cu	0.016	809	-	VH	74
Cu	0.016	815	-	VH	74
Cu	0.012	847	-	VH	74
Cu	0.011	774	-	VH	74
Cu	0.01	789	-	VH	74
Cu	0.01	828	-	VH	74
Cu	0.007	809	-	VH	74
Cu	22	213	-	VH	75
Cu	0.113	489	-	VH	75
Cu	0.048	708	-	VH	75
Cu	0.025	827	-	VH	75
Cu	0.022	797	-	VH	75
Cu	0.016	853	-	VH	75
Cu	0.01	1006	-	VH	76
Cu	0.042	583	-	VH	76
Cu	0.032	645	-	VH	76
Cu	0.554	505	-	VH	76
Cu	0.335	678	-	VH	76
Cu	0.179	735	-	VH	76
Cu	0.152	817	-	VH	76
Cu	0.031	864	-	VH	76
Cu	0.751	186	0.002	CT	76
Cu	0.349	227	0.002	CT	76
Cu	0.116	311	0.002	CT	76
Cu	0.051	461	0.002	CT	76
Cu	0.032	592	0.002	CT	76
Cu	0.027	629	0.002	CT	76
Cu	0.022	683	0.002	CT	76
Cu	8	65	0.002	TT	78
Cu	20	52	0.002	TT	78
Cu	20	46	0.002	TT	78
Cu	34	43	0.002	TT	78
Cu	33	47	0.002	TT	78
Cu	82	39	0.002	TT	78
Cu	87	37	0.002	TT	78
Cu	8	61	0.002	TT	78
Cu	6	70	0.002	TT	78
Cu	6	74	0.002	TT	78
Cu	21	212	-	VH	86
Cu	18	214	-	VH	86
Cu	15	219	-	VH	86
Cu	17	222	-	VH	86
Cu	13	234	-	VH	86
Cu	11	242	-	VH	86
Cu	9	243	-	VH	86
Cu	8	247	-	VH	86
Cu	6	253	-	VH	86
Cu	0.016	732	-	VH	86
Cu	0.014	667	-	VH	86
Cu	0.009	554	-	VH	86
Cu	0.008	483	-	VH	86
Cu	36	170	-	VH	79
Cu	0.049	365	-	VH	79
Cu	0.032	545	-	VH	79
Cu	0.01	505	-	VH	79
Cu	0.015	735	-	VH	79
Cu	0.006	826	-	VH	79
Cu	0.006	867	-	VH	79
Cu	0.005	733	-	VH	79
Cu	0.026	720	-	VH	80
Cu	0.029	811	-	VH	80
Cu	0.013	710	-	VH	80
Cu	0.015	770	-	VH	80
Cu	0.013	841	-	VH	80
Cu	0.01	841	-	VH	80
Cu	0.009	866	-	VH	80
Cu	0.009	886	-	VH	80
Cu	0.008	880	-	VH	80
Cu	0.005	857	-	VH	80
Cu	0.014	823	-	VH	80
Cu	0.014	763	-	VH	80
